year,month,week,origin,volume_tonnes,price_high,price_mid,price_low,approx_fish_count,week_number,week_id
2009,12,2,各地,38.1,8925.0,4949.0,2100,152,305,2009-12-2
2009,12,3,各地,38.4,14175.0,7001.0,2625,154,306,2009-12-3
2009,12,4,各地,51.4,16800.0,5921.0,2100,206,307,2009-12-4
2010,1,1,各地,38.0,73500.0,5700.0,2100,152,308,2010-01-1
2010,1,2,各地,32.4,16800.0,5500.0,2100,130,309,2010-01-2
2010,1,3,各地,27.0,13650.0,5074.0,2100,108,310,2010-01-3
2010,1,4,各地,26.8,14175.0,5375.0,2100,107,311,2010-01-4
2010,2,1,各地,25.5,16800.0,3982.0,1575,102,312,2010-02-1
2010,2,2,各地,30.0,14175.0,4375.0,2100,120,313,2010-02-2
2010,2,3,各地,38.4,18375.0,4025.0,2100,154,314,2010-02-3
2010,2,4,各地,36.8,18900.0,4410.0,2100,147,315,2010-02-4
2010,3,1,各地,38.2,13650.0,4309.0,2100,153,316,2010-03-1
2010,3,2,各地,32.6,21000.0,4361.0,2100,130,317,2010-03-2
2010,3,3,各地,34.1,22050.0,4442.0,2100,136,318,2010-03-3
2010,3,4,各地,31.6,21000.0,4036.0,2100,126,319,2010-03-4
2010,4,1,各地,27.5,15225.0,3971.0,2100,110,320,2010-04-1
2010,4,2,各地,28.8,14700.0,3964.0,2100,115,321,2010-04-2
2010,4,3,各地,31.5,16800.0,3873.0,1890,126,322,2010-04-3
2010,4,4,各地,27.8,13125.0,3746.0,1785,111,323,2010-04-4
2010,4,5,各地,26.3,11025.0,3719.0,1890,105,324,2010-04-5
2010,5,1,各地,34.8,10500.0,3453.0,2100,139,325,2010-05-1
2010,5,2,各地,30.0,8925.0,3364.0,1575,120,326,2010-05-2
2010,5,3,各地,24.2,14175.0,3186.0,1890,97,327,2010-05-3
2010,5,4,各地,30.5,11025.0,3046.0,1155,122,328,2010-05-4
2010,6,1,各地,43.6,11550.0,2701.0,1575,174,329,2010-06-1
2010,6,2,各地,39.4,13650.0,2261.0,1050,158,330,2010-06-2
2010,6,3,各地,31.3,15750.0,2963.0,1050,125,331,2010-06-3
2010,6,4,各地,41.5,7875.0,2197.0,1050,166,332,2010-06-4
2010,7,1,各地,26.5,13650.0,2879.0,1050,106,333,2010-07-1
2010,7,2,各地,26.6,10500.0,2751.0,1785,106,334,2010-07-2
2010,7,3,各地,24.0,12600.0,3011.0,1785,96,335,2010-07-3
2010,7,4,各地,27.3,12600.0,3888.0,1575,109,336,2010-07-4
2010,7,5,各地,26.0,8925.0,3520.0,1365,104,337,2010-07-5
2010,8,1,各地,24.5,18375.0,4183.0,1260,98,338,2010-08-1
2010,8,2,各地,28.7,14175.0,4718.0,2100,115,339,2010-08-2
2010,8,3,各地,25.2,14175.0,4332.0,2625,101,340,2010-08-3
2010,8,4,各地,22.0,11550.0,4523.0,1050,88,341,2010-08-4
2010,9,1,各地,21.0,11550.0,4347.0,1785,84,342,2010-09-1
2010,9,2,各地,24.7,11550.0,4955.0,1575,99,343,2010-09-2
2010,9,3,各地,24.9,13650.0,4288.0,1575,100,344,2010-09-3
2010,9,4,各地,31.3,8925.0,4576.0,2100,125,345,2010-09-4
2010,9,5,各地,38.4,10500.0,4981.0,2100,154,346,2010-09-5
2010,10,1,各地,29.5,8925.0,4625.0,1260,118,347,2010-10-1
2010,10,2,各地,32.3,10500.0,4435.0,2100,129,348,2010-10-2
2010,10,3,各地,27.6,11550.0,4869.0,1365,110,349,2010-10-3
2010,10,4,各地,27.7,8400.0,4589.0,1050,111,350,2010-10-4
2010,11,1,各地,24.7,7875.0,3759.0,1575,99,351,2010-11-1
2010,11,2,各地,30.9,12600.0,4209.0,1050,124,352,2010-11-2
2010,11,3,各地,22.8,13125.0,4803.0,1575,91,353,2010-11-3
2010,11,4,各地,28.0,11550.0,4876.0,1575,112,354,2010-11-4
2010,12,1,各地,26.0,11025.0,5135.0,1575,104,355,2010-12-1
2010,12,2,各地,32.6,11025.0,4904.0,2100,130,356,2010-12-2
2010,12,3,各地,32.0,12600.0,5301.0,1365,128,357,2010-12-3
2010,12,4,各地,34.8,12600.0,5475.0,1575,139,358,2010-12-4
2011,1,1,各地,30.2,10500.0,4087.0,1575,121,359,2011-01-1
2011,1,2,各地,20.2,15750.0,3859.0,2100,81,360,2011-01-2
2011,1,3,各地,25.6,15750.0,3737.0,1890,102,361,2011-01-3
2011,2,1,各地,18.6,15750.0,4064.0,2100,74,362,2011-02-1
